Plugin ID,CVE,CVSS,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
"10107","","","None","192.168.42.129","tcp","8000","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

nginx/1.19.3"
"10107","","","None","192.168.42.129","tcp","8001","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

TornadoServer/5.0"
"10107","","","None","192.168.42.129","tcp","8834","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

NessusWWW"
"10147","","","None","192.168.42.129","tcp","8834","Nessus Server Detection","A Nessus daemon is listening on the remote port.","A Nessus daemon is listening on the remote port.","Ensure that the remote Nessus installation has been authorized.","https://www.tenable.com/products/nessus/nessus-professional","
  URL               : https://192.168.42.129:8834/
  Version           : 18.11.1
  Nessus UI Version : 8.11.1
"
"10223","CVE-1999-0632","0.0","None","192.168.42.129","udp","111","RPC portmapper Service Detection","An ONC RPC portmapper is running on the remote host.","The RPC portmapper is running on this port.

The portmapper allows someone to get the port number of each RPC
service running on the remote host by sending either multiple lookup
requests or a DUMP request.","n/a","",""
"10267","","","None","192.168.42.129","tcp","22","SSH Server Type and Version Information","An SSH server is listening on this port.","It is possible to obtain information about the remote SSH server by
sending an empty authentication request.","n/a","","
SSH version : SSH-2.0-OpenSSH_7.4
SSH supported authentication : publickey,gssapi-keyex,gssapi-with-mic,password
"
"10302","","","None","192.168.42.129","tcp","8888","Web Server robots.txt Information Disclosure","The remote web server contains a 'robots.txt' file.","The remote host contains a file named 'robots.txt' that is intended to
prevent web 'robots' from visiting certain directories in a website for
maintenance or indexing purposes.  A malicious user may also be able to
use the contents of this file to learn of sensitive documents or
directories on the affected site and either retrieve them directly or
target them for other attacks.","Review the contents of the site's robots.txt file, use Robots META tags
instead of entries in the robots.txt file, and/or adjust the web
server's access controls to limit access to sensitive material.","http://www.robotstxt.org/orig.html","Contents of robots.txt :

User-agent: *
Disallow: /
"
"10386","","","None","192.168.42.129","tcp","8888","Web Server No 404 Error Code Check","The remote web server does not return 404 error codes.","The remote web server is configured such that it does not return '404
Not Found' error codes when a nonexistent file is requested, perhaps
returning instead a site map, search page or authentication page.

Nessus has enabled some counter measures for this.  However, they
might be insufficient.  If a great number of security holes are
produced for this port, they might not all be accurate.","n/a","","

CGI scanning will be disabled for this host because the host responds
to requests for non-existent URLs with HTTP code 302
rather than 404. The requested URL was : 

    http://192.168.42.129:8888/cgi-bin/UKmofR56W4Tp.html
"
"10407","","2.6","Low","192.168.42.129","tcp","6000","X Server Detection","An X11 server is listening on the remote host","The remote host is running an X11 server.  X11 is a client-server
protocol that can be used to display graphical applications running on
a given host on a remote client. 

Since the X11 traffic is not ciphered, it is possible for an attacker
to eavesdrop on the connection.","Restrict access to this port. If the X11 client/server facility is not
used, disable TCP support in X11 entirely (-nolisten tcp).","","
X11 Version : 11.0
"
"10719","","","None","192.168.42.129","tcp","3306","MySQL Server Detection","A database server is listening on the remote port.","The remote host is running MySQL, an open source database server.","n/a","","
The remote database access is restricted and configured to reject access
from unauthorized IPs.  Therefore it was not possible to extract its
version number."
